A-bomb|s:a-bombs
nullify|d:nullified,i:nullifying,p:nullified,3:nullifies
numan|s:numen
numb|d:numbed,i:numbing,3:numbs,p:numbed,r:number
number|s:numbers,d:numbered,p:numbered,i:numbering,3:numbs
number-cruncher|s:number-crunchers
number-plate|s:number-plates
numberplate|s:numberplates
numbskull|s:numbskulls
numeral|s:numerals
numerate|i:numerating,p:numerated,3:numerates,d:numerated
numerator|s:numerators
numeric|s:numerics
numismatist|s:numismatists
nummulite|s:nummulites
numnah|s:numnahs
numskull|s:numskulls
nun|s:nuns
nunatak|s:nunataks
nuncio|s:nuncios
nune|s:nunes
nunnery|s:nunneries
nuptial|s:nuptials
nurse|s:nurses,i:nursing,p:nursed,d:nursed,3:nurses
nurse-maid|s:nurse-maids
nursemaid|s:nursemaids,i:nursemaiding
nursery|s:nurseries
nursery-rhyme|s:nursery-rhymes
nurserymaid|s:nurserymaids
nurseryman|s:nurserymen
nursing-home|s:nursing-homes
nurture|d:nurtured,i:nurturing,p:nurtured,3:nurtures,s:nurtures
nurturer|s:nurturers
nut|s:nuts,i:nutting,3:nuts,p:nutted,d:nutted
nut-case|s:nut-cases
nut-tree|s:nut-trees
nutate|i:nutating,p:nutated,3:nutates,d:nutated
nutcase|s:nutcases
nutcracker|s:nutcrackers
nuthatch|s:nuthatches
nutmeg|s:nutmegs,p:nutmegged
nutrient|s:nutrients
nutritionist|s:nutritionists
nutshell|s:nutshells
nutter|s:nutters
nutty|s:nutties
nuzzle|p:nuzzled,i:nuzzling,3:nuzzles,d:nuzzled,s:nuzzles
nvq|s:nvqs
nylon|s:nylons
nyman|s:nymans
nymph|s:nymphs
nymphet|s:nymphets
nympho|s:nymphos
nymphomaniac|s:nymphomaniacs
O-level|s:o-levels
oaa|s:oaas
oab|3:oabs
oaf|s:oafs
oak|s:oaks
oak-apple|s:oak-apples
oak-tree|s:oak-trees
oak-wood|s:oak-woods
oakwood|s:oakwoods
oap|s:oaps
oar|s:oars
oare|s:oares
oarlock|s:oarlocks
oarsman|s:oarsmen
oasis|s:oases
oast|s:oasts
oast-house|s:oast-houses
oasthouse|s:oasthouses
oat-cake|s:oat-cakes
oatcake|s:oatcakes
oath|s:oaths
ob|s:obs,3:obs,p:obed
oba|s:obas
obbligato|s:obbligatos
OBE|s:obes
obedience|s:obediences
obeisance|s:obeisances
obelisk|s:obelisks,3:obelisks
obey|p:obeyed,d:obeyed,i:obeying,3:obeys
obfuscate|3:obfuscates,i:obfuscating,d:obfuscated,p:obfuscated
obfuscation|s:obfuscations
obin|s:obins
obit|s:obits,3:obits
obituarist|s:obituarists
obituary|s:obituaries
object|s:objects,p:objected,d:objected,i:objecting,3:objects
object-glass|s:object-glasses
object-relation|s:object-relations
objectification|s:objectifications
objectify|3:objectifies,d:objectified,p:objectified,i:objectifying
objection|s:objections
objective|s:objectives
objectivist|s:objectivists
objectivity|s:objectivities
objector|s:objectors
objurgate|i:objurgating,p:objurgated,3:objurgates,d:objurgated
oblast|s:oblasts
oblation|s:oblations
obligate|d:obligated,p:obligated,i:obligating,3:obligates
obligation|s:obligations
oblige|d:obliged,p:obliged,3:obliges,i:obliging
oblique|s:obliques
obliquity|s:obliquities
obliterate|d:obliterated,i:obliterating,3:obliterates,p:obliterated
oblivion|s:oblivions
oblong|s:oblongs
obnubilate|i:obnubilating,p:obnubilated,3:obnubilates,d:obnubilated
oboe|s:oboes
oboist|s:oboists
obscenity|s:obscenities
obscure|d:obscured,3:obscures,i:obscuring,p:obscured,r:obscurer
obscurity|s:obscurities
obsequy|s:obsequies
observable|s:observables
observance|s:observances
observation|s:observations
observatory|s:observatories
observe|d:observed,p:observed,i:observing,3:observes
observer|s:observers
obsess|3:obsesses,p:obsessed,d:obsessed,i:obsessing
obsession|s:obsessions
obsessional|s:obsessionals
obsessive|s:obsessives,3:obsessives
obsidian|s:obsidians
obsolesce|i:obsolescing,p:obsolesced,3:obsolesces,d:obsolesced
obsolete|d:obsoleted,i:obsoleting,p:obsoleted
obstacle|s:obstacles
obstetrician|s:obstetricians
obstruct|i:obstructing,d:obstructed,3:obstructs,p:obstructed
obstruction|s:obstructions
obstructionist|s:obstructionists
obstruent|s:obstruents
obtain|d:obtained,i:obtaining,p:obtained,3:obtains
obtaining|s:obtainings
obtrude|p:obtruded,3:obtrudes,i:obtruding,d:obtruded
obtund|i:obtunding,p:obtunded,3:obtunds,d:obtunded
obturate|i:obturating,p:obturated,3:obturates,d:obturated
obviate|3:obviates,i:obviating,d:obviated,p:obviated
ocarina|s:ocarinas
occasion|s:occasions,d:occasioned,i:occasioning,p:occasioned,3:occasions
occassion|s:occassions
occidentalize|i:Occidentalizing,p:Occidentalized,3:Occidentalizes,d:Occidentalized
occlude|3:occludes,d:occluded,p:occluded,i:occluding
occluder|s:occluders
occlusion|s:occlusions
occult|i:occulting,p:occulted,3:occults,d:occulted
occultation|s:occultations
occultist|s:occultists
occupancy|s:occupancies
occupant|s:occupants
occupation|s:occupations
occupational-pension|s:occupational-pensions
occupier|s:occupiers
occupy|d:occupied,3:occupies,p:occupied,i:occupying
occur|3:occurs,p:occurred,d:occurred,i:occurring
occurence|s:occurences
occurrence|s:occurrences
ocean|s:oceans
oceanic|s:oceanics
oceano|s:oceanos
oceanographer|s:oceanographers
ocelot|s:ocelots
och|s:ochs
ochre|s:ochres
octagon|s:octagons
octahedron|s:octahedrons
octamer|s:octamers
octan|s:octans
octave|s:octaves
Octobrist|s:octobrists
octogenarian|s:octogenarians
octopod|s:octopods
oculist|s:oculists
OD|t:oddest,r:odder,3:ods,s:ods
odalisque|s:odalisques
odb|s:odbs
odd-job|s:odd-jobs
oddball|s:oddballs
Oddfellow|s:oddfellows
oddity|s:oddities
oddment|s:oddments
ode|s:odes
oden|s:odens
odeon|s:odeons
odham|s:odhams
odle|i:odling
odometer|s:odometers
odontocete|s:odontocetes
odor|s:odors
odorant|s:odorants
odour|s:odours
Odyssey|s:odysseys
OE|s:oes
oec|s:oecs
OEM|d:oemed,i:oeming
oenocyte|s:oenocytes
Oerlikon|s:oerlikons
oestrogen|s:oestrogens
oeuvre|s:oeuvres
ofa|s:ofas
ofer|d:ofered
off|i:offing,p:offed,3:offs,d:offed
off-beat|s:off-beats
off-cut|s:off-cuts
off-day|s:off-days
off-drive|i:off-driving
off-licence|s:off-licences
off-line|s:off-lines
off-load|d:off-loaded,i:off-loading,p:off-loaded,3:off-loads
off-print|s:off-prints
off-roader|s:off-roaders
off-scouring|s:off-scourings
off-season|s:off-seasons
off-set|i:off-setting,s:off-sets,3:off-sets
off-shoot|s:off-shoots
off-side|s:off-sides
off-worlder|s:off-worlders
offal|s:offals
offcut|s:offcuts
offence|s:offences
offend|d:offended,p:offended,3:offends,i:offending
offender|s:offenders
offense|s:offenses
offensive|s:offensives
offer|d:offered,3:offers,i:offering,p:offered,s:offers
offeree|s:offerees
offerer|s:offerers
offering|s:offerings
offeror|s:offerors
offical|s:officals
office|s:offices
office-bearer|s:office-bearers
office-block|s:office-blocks
office-holder|s:office-holders
office-hour|s:office-hours
office-worker|s:office-workers
officeholder|s:officeholders
officer|s:officers,i:officering,p:officered,3:officers,d:officered
official|s:officials
officiant|s:officiants
officiate|i:officiating,p:officiated,d:officiated,3:officiates
officier|s:officiers
offline|d:offlined,i:offlining,s:offlines
offlined|p:offlined
offload|d:offloaded,i:offloading,3:offloads,p:offloaded
offprint|s:offprints
offput|i:offputting
offr|s:offrs,d:offred
offset|3:offsets,i:offsetting,s:offsets
offshoot|s:offshoots
offside|s:offsides
offsite|s:offsites
offspring|s:offsprings
offtake|s:offtakes
og|s:ogs
ogam|s:ogams
Ogilvy|s:ogilvys
ogle|i:ogling,p:ogled,d:ogled,s:ogles,3:ogles
ogler|s:oglers
ogling|s:oglings
ogon|s:ogons
ogre|s:ogres
ohm|s:ohms
ohp|s:ohps
oic|s:oics
oie|s:oies
oik|s:oiks
oil|s:oils,p:oiled,i:oiling,d:oiled,3:oils
oil-burner|s:oil-burners
oil-drum|s:oil-drums
oil-field|s:oil-fields
oil-lamp|s:oil-lamps
oil-painting|s:oil-paintings
oil-rig|s:oil-rigs
oil-shale|s:oil-shales
oil-slick|s:oil-slicks
oil-spill|s:oil-spills
oilbird|s:oilbirds
oilfield|s:oilfields
oilman|s:oilmen
oilseed|s:oilseeds,3:oilseeds
oilskin|s:oilskins,3:oilskins
oilstove|s:oilstoves
oily|s:oilies,r:oilier,t:oiliest
oink|i:oinking,p:oinked,3:oinks,d:oinked,f:oinks
ointment|s:ointments
okay|i:okaying,p:okayed,3:okays,d:okayed
okrug|s:okrugs
Ol|s:ols
ola|s:olas
old|r:older,t:oldest,s:olds
old-boy|s:old-boys
old-maid|s:old-maids
old-people|s:old-peoples
old-soldier|s:old-soldiers
old-stager|s:old-stagers
old-timer|s:old-timers
oldland|s:oldlands
oldster|s:oldsters
oldy|s:oldies
oleander|s:oleanders
Olearia|s:olearias
olefin|s:olefins
olefine|s:olefines
oleograph|s:oleographs
olfact|3:olfacts,s:olfacts
oligarch|s:oligarchs
oligarchy|s:oligarchies
oligo|s:oligos
oligochaete|s:oligochaetes
oligodendrocyte|s:oligodendrocytes
oligodeoxyribonucleotide|s:oligodeoxyribonucleotides
oligomer|s:oligomers
oligonucleotide|s:oligonucleotides,3:oligonucleotides
oligopeptide|s:oligopeptides
oligopolist|s:oligopolists
oligopoly|s:oligopolies
oligosaccharide|s:oligosaccharides
olistostrome|s:olistostromes
olive|s:olives
olivine|s:olivines,3:olivines
olly|s:ollies,p:ollied,r:ollier
olmo|s:olmos
olo|s:olos
ology|s:ologies
olsen|s:olsens
olt|s:olts
olympian|s:olympians
Olympic|s:olympics
om|i:omming
ombudsman|s:ombudsmen
omelette|s:omelettes
omen|s:omens,i:omening,p:omened,3:omens,d:omened
omission|s:omissions
omit|d:omitted,i:omitting,p:omitted,3:omits
ommochrome|s:ommochromes
omnivore|s:omnivores,3:omnivores
omo|s:omos
omphalo|s:omphalos
omv|s:omvs
on-cost|s:on-costs
on-hand|s:on-hands
on-licence|s:on-licences
on-looker|s:on-lookers
on-sight|s:on-sights
onanist|s:onanists
oncer|s:oncers
oncogene|s:oncogenes
oncologist|s:oncologists
oncoprotein|s:oncoproteins
ond|s:onds
one|s:ones
one-day|s:one-days
one-dayer|s:one-dayers
one-liner|s:one-liners
one-many|s:one-manys
one-nighter|s:one-nighters
one-off|s:one-offs
one-parent|s:one-parents
one-piece|s:one-pieces
one-step|i:one-stepping,p:one-stepped,3:one-steps,d:one-stepped
one-stop-shop|s:one-stop-shops
onion|s:onions
onlap|d:onlapped,i:onlapping
onlooker|s:onlookers
onomastic|s:onomastics
onrush|i:onrushing
onslaught|s:onslaughts
onto|s:ontos
ontology|s:ontologies
onychophoran|s:onychophorans
oo|s:oos
oob|s:oobs
oocyte|s:oocytes
ood|s:oods
ooh|s:oohs
ooid|s:ooids
ook|i:ooking
oolite|s:oolites
oor|s:oors
ooze|i:oozing,p:oozed,3:oozes,s:oozes,d:oozed
oozing|s:oozings
OP|s:ops,p:opped
op-amp|s:op-amps
opa|s:opas
OPAC|s:opacs
opacify|i:opacifying,p:opacified,3:opacifies,d:opacified
opacity|s:opacities
opal|s:opals
opalesce|i:opalescing,p:opalesced,3:opalesces,d:opalesced
opaque|s:opaques,p:opaqued
opca|s:opcas
opcode|s:opcodes
open|p:opened,d:opened,i:opening,3:opens
open-space|s:open-spaces
open-system|s:open-systems
open-topper|s:open-toppers
opencast|i:opencasting
opene|t:openest
opener|s:openers
opening|s:openings
opera|s:operas
opera-glass|s:opera-glasses
opera-goer|s:opera-goers
opera-house|s:opera-houses
operand|s:operands
operate|i:operating,d:operated,3:operates,p:operated
operatic|s:operatics
operation|s:operations
operationalize|d:operationalized,i:operationalizing,p:operationalized
operative|s:operatives
operator|s:operators
operculum|s:operculums
operetta|s:operettas
operon|s:operons
ophiolite|s:ophiolites
ophiuroid|s:ophiuroids
ophthalmologist|s:ophthalmologists
opiate|s:opiates,3:opiates
opic|s:opics
opine|p:opined,3:opines,i:opining,s:opines,d:opined
opinion|s:opinions
opinion-maker|s:opinion-makers
opinion-poll|s:opinion-polls
opinionate|p:opinionated,d:opinionated
opioid|s:opioids
opossum|s:opossums
opp|s:opps
oppo|s:oppos
opponent|s:opponents
opportunist|s:opportunists
opportunite|s:opportunites
opportunity|s:opportunities
oppose|d:opposed,p:opposed,i:opposing,3:opposes
opposer|s:opposers
opposite|s:opposites
opposition|s:oppositions
oppositionist|s:oppositionists
oppress|d:oppressed,p:oppressed,i:oppressing,3:oppresses
oppression|s:oppressions
oppressor|s:oppressors
oppugn|i:oppugning,p:oppugned,3:oppugns,d:oppugned
opsonize|i:opsonizing,p:opsonized,3:opsonizes,d:opsonized
opt|i:opting,d:opted,p:opted,3:opts
opt-out|s:opt-outs
optative|s:optatives
optical|s:opticals
optician|s:opticians
optimisation|s:optimisations
optimise|d:optimised,i:optimising,p:optimised,3:optimises
optimist|s:optimists
optimize|d:optimized,i:optimizing,3:optimizes,p:optimized
optimizer|s:optimizers
option|s:options
optoelectronic|s:optoelectronics
optometrist|s:optometrists
opy|s:opies
oracle|s:oracles
oral|s:orals
oralist|s:oralists
Oranda|s:orandas
orang|s:orangs,3:orangs
orang-utan|s:orang-utans
orang-utang|s:orang-utangs
orange|s:oranges
orangeman|s:orangemen
orangery|s:orangeries
orangutan|s:orangutans
orate|p:orated,s:orates,i:orating,3:orates,d:orated
oration|s:orations
orator|s:orators
Oratorian|s:oratorians
oratorio|s:oratorios
oratory|s:oratories
orb|s:orbs,i:orbing,p:orbed,3:orbs,d:orbed
ORBAT|s:orbats
orbit|s:orbits,i:orbiting,p:orbited,3:orbits,d:orbited
orbital|s:orbitals
orbiter|s:orbiters
orc|s:orcs
orca|s:orcas
orcadian|s:orcadians
orchard|s:orchards
orchestra|s:orchestras
orchestrate|d:orchestrated,i:orchestrating,p:orchestrated,3:orchestrates
orchestration|s:orchestrations
orchestrator|s:orchestrators
orchestrion|s:orchestrions
orchid|s:orchids
ord|s:ords
ordain|d:ordained,i:ordaining,p:ordained,3:ordains,s:ordains
ordainer|s:ordainers
ordeal|s:ordeals
order|s:orders,d:ordered,p:ordered,i:ordering,3:orders
order-book|s:order-books
order-taker|s:order-takers
orderer|s:orderers
ordering|s:orderings
orderly|s:orderlies
ordinaire|s:ordinaires
ordinal|s:ordinals
ordinance|s:ordinances
ordinand|s:ordinands,3:ordinands
ordinary|s:ordinaries
ordinate|s:ordinates,p:ordinated,i:ordinating
ordination|s:ordinations
ordnance|s:ordnances
ore|s:ores
oread|s:oreads
orebody|s:orebodies
orefield|s:orefields
oreshoot|s:oreshoots
ORF|s:orfs
orfe|s:orfes
organ|s:organs
organ-builder|s:organ-builders
organ-pipe|s:organ-pipes
organelle|s:organelles
organic|s:organics
organisation|s:organisations
organise|d:organised,i:organising,p:organised,3:organises
organiser|s:organisers
organism|s:organisms
organist|s:organists
organization|s:organizations
organize|d:organized,i:organizing,p:organized,3:organizes
organizer|s:organizers
organo-chlorine|s:organo-chlorines
organochloride|s:organochlorides
organochlorine|s:organochlorines
organometallic|s:organometallics
organophosphate|s:organophosphates
orgasm|s:orgasms,p:orgasmed,3:orgasms
orgiast|s:orgiasts
orgy|s:orgies
orian|s:orians
Oriel|s:oriels
orien|3:oriens
orient|p:oriented,d:oriented,i:orienting,3:orients
oriental|s:orientals
Orientalise|i:orientalising
Orientalist|s:orientalists
orientate|d:orientated,i:orientating,3:orientates,p:orientated
orientation|s:orientations
orienteer|s:orienteers,i:orienteering
orifice|s:orifices
origin|s:origins
original|s:originals
originality|s:originalities
originate|d:originated,i:originating,p:originated,3:originates
origination|s:originations
originator|s:originators
oriole|s:orioles
orison|s:orisons
ork|s:orks
Ormerod|s:ormerods
ormonde|s:ormondes
ornament|s:ornaments,d:ornamented,i:ornamenting,p:ornamented,3:ornaments
ornamental|s:ornamentals
ornamentation|s:ornamentations
ornithischian|s:ornithischians
ornithologist|s:ornithologists
ornithopod|s:ornithopods
orogen|s:orogens
orogeny|s:orogenies
oromo|s:oromos
oropendola|s:oropendolas
orphan|s:orphans,i:orphaning,p:orphaned,3:orphans,d:orphaned
orphanage|s:orphanages
orphist|s:orphists
orr|s:orrs
orse|s:orses
ort|s:orts
orthodontic|s:orthodontics
orthodoxy|s:orthodoxies
orthoepist|s:orthoepists
orthogneiss|s:orthogneisses
orthogonal|s:orthogonals
orthogonalise|3:orthogonalises,p:orthogonalised,d:orthogonalised
orthography|s:orthographies
orthopaedic|s:orthopaedics
orthopantogram|s:orthopantograms,3:orthopantograms
orthopedic|s:orthopedics
orthophosphate|s:orthophosphates
oryx|s:oryxes
Oscar|s:oscars
oscillate|3:oscillates,i:oscillating,p:oscillated,d:oscillated
oscillation|s:oscillations
oscillator|s:oscillators
oscillogram|s:oscillograms
oscilloscope|s:oscilloscopes
osculate|i:osculating,p:osculated,3:osculates,d:osculated
osier|s:osiers
osmometer|s:osmometers
osprey|s:ospreys
osr|p:osred
oss|s:osses
Ossete|s:ossetes
ossetian|s:ossetians
ossicle|s:ossicles
ossify|d:ossified,p:ossified,i:ossifying,3:ossifies
ossuary|s:ossuaries
ost|s:osts
osteoblast|s:osteoblasts
osteoclast|s:osteoclasts
osteopath|s:osteopaths
osteospermum|s:osteospermums
osteostracan|s:osteostracans
ostertag|s:ostertags
ostinato|s:ostinatos
ostiole|s:ostioles
ostler|s:ostlers
ostmark|s:ostmarks
ostracise|d:ostracised,i:ostracising,3:ostracises
ostracize|d:ostracized,i:ostracizing,p:ostracized,3:ostracizes
ostracod|s:ostracods,3:ostracods
ostracoderm|s:ostracoderms
ostrer|s:ostrers
ostrich|s:ostriches
Ostrogoth|s:ostrogoths
osy|r:osier
ot|s:ots,r:oter
ote|s:otes
other|s:others
otter|s:otters
ottoman|s:ottomans
ou|t:ouest
oubliette|s:oubliettes
ouch|s:ouches
oued|s:oueds
ouguiya|s:ouguiyas
ounce|s:ounces
oust|d:ousted,p:ousted,i:ousting,3:ousts
ouster|s:ousters
out|i:outing,p:outed,3:outs,d:outed
out-building|s:out-buildings
out-class|i:out-classing,p:out-classed,d:out-classed
out-come|s:out-comes
out-compete|d:out-competed,p:out-competed
out-crop|s:out-crops
out-date|d:out-dated
out-drink|i:out-drinking
out-drive|i:out-driving
out-fall|s:out-falls
out-field|s:out-fields
out-flow|s:out-flows
out-going|s:out-goings
out-group|s:out-groups
out-gun|d:out-gunned
out-Herod|i:out-heroding,p:out-heroded,3:out-herods,d:out-heroded
out-house|s:out-houses
out-live|i:out-living,d:out-lived
out-manoeuvre|3:out-manoeuvres
out-migrant|s:out-migrants
out-number|d:out-numbered,i:out-numbering,p:out-numbered
out-of-bound|s:out-of-bounds,3:out-of-bounds
out-of-door|s:out-of-doors,3:out-of-doors
out-of-towner|s:out-of-towners
out-pace|d:out-paced,i:out-pacing
out-patient|s:out-patients
out-perform|d:out-performed,p:out-performed,3:out-performs,i:out-performing
out-performance|p:out-performanced
out-point|d:out-pointed,p:out-pointed,i:out-pointing
out-produce|3:out-produces
out-put|p:out-putted
out-rank|d:out-ranked
out-run|i:out-running
out-score|d:out-scored
out-source|i:out-sourcing,p:out-sourced
out-station|s:out-stations
out-take|s:out-takes
out-talk|d:out-talked
out-tray|s:out-trays
out-turn|3:out-turns,s:out-turns
out-vote|d:out-voted
out-weigh|d:out-weighed,p:out-weighed
out-work|i:out-working
out-worker|s:out-workers
outage|s:outages
outbalance|i:outbalancing,p:outbalanced,3:outbalances,d:outbalanced
outbid|i:outbidding,3:outbids
outboard|s:outboards
outbrave|i:outbraving,p:outbraved,3:outbraves,d:outbraved
outbreak|s:outbreaks
outbreed|i:outbreeding
outbuilding|s:outbuildings
outburst|s:outbursts
outcast|s:outcasts
outcaste|3:outcastes,s:outcastes
outclass|d:outclassed,p:outclassed,i:outclassing,3:outclasses
outcome|s:outcomes
outcoming|s:outcomings
outcompete|i:outcompeting,p:outcompeted
outcrop|s:outcrops,i:outcropping,p:outcropped,3:outcrops,d:outcropped
outcropping|s:outcroppings
outcross|i:outcrossing,d:outcrossed
outcry|s:outcries,i:outcrying,p:outcried,3:outcries,d:outcried
outdate|d:outdated
outdistance|p:outdistanced,d:outdistanced,s:outdistances,i:outdistancing,3:outdistances
outdo|i:outdoing,p:outdid,3:outdoes,d:outdone
outdoorsman|s:outdoorsmen
outdraw|i:outdrawing,p:outdrew,3:outdraws,d:outdrawn
outdrive|i:outdriving
outer|s:outers
outface|d:outfaced,p:outfaced,i:outfacing,3:outfaces
outfall|s:outfalls
outfield|s:outfields
outfielder|s:outfielders
outfight|i:outfighting,p:outfought,3:outfights,d:outfought
outfit|s:outfits,i:outfitting,p:outfitted,3:outfits,d:outfitted
outfitter|s:outfitters
outflank|d:outflanked,p:outflanked,i:outflanking,3:outflanks
outflow|s:outflows,i:outflowing
outfly|i:outflying
outfox|d:outfoxed,i:outfoxing,p:outfoxed,3:outfoxes
outga|s:outgas
outgass|i:outgassing,d:outgassed,3:outgasses,s:outgasses
outgeneral|i:outgeneralling,p:outgeneralled,3:outgenerals,d:outgeneralled
outgo|i:outgoing,p:outwent,3:outgoes,d:outgone
outgoer|3:outgoers,s:outgoers
outgoing|s:outgoings
outgross|i:outgrossing,p:outgrossed
